 Gene	Chromosome	Start	End	GC	Type
HORVU5Hr1G111620	chr5H	636797408	636815487	43.16	protein_coding
HORVU7Hr1G067190	chr7H	349521800	349521988	47.62	protein_coding
HORVU7Hr1G020890	chr7H	28376729	28377675	50.16	protein_coding
HORVU2Hr1G015470	chr2H	34351990	34355573	49.16	protein_coding
HORVU6Hr1G017010	chr6H	39315181	39316876	41.21	protein_coding
HORVU7Hr1G074750	chr7H	428977887	428983364	44.19	protein_coding
HORVU6Hr1G005690	chr6H	12565858	12569544	48.28	protein_coding
HORVU1Hr1G076880	chr1H	515943339	515945338	51.6	protein_coding
HORVU6Hr1G000040	chr6H	212418	214380	0	nontranslating_CDS
HORVU7Hr1G026940	chr7H	47357790	47360954	59.78	protein_coding
HORVU7Hr1G053570	chr7H	210027612	210033082	56.95	protein_coding
HORVU5Hr1G113670	chr5H	642389844	642390267	45.28	protein_coding
HORVU5Hr1G098740	chr5H	608586875	608588528	44.14	nontranslating_CDS
HORVU7Hr1G038950	chr7H	101548535	101588486	45.4	protein_coding
HORVU6Hr1G000960	chr6H	3074335	3075337	38.59	protein_coding
HORVU2Hr1G012420	chr2H	26120731	26125433	0	nontranslating_CDS
HORVU7Hr1G089160	chr7H	541020172	541022727	58.37	protein_coding
HORVU5Hr1G080870	chr5H	562277091	562279749	50.06	protein_coding
HORVU5Hr1G072930	chr5H	537103867	537105419	68.58	protein_coding
HORVU7Hr1G030120	chr7H	58625588	58626562	59.18	protein_coding
HORVU5Hr1G113160	chr5H	641023461	641024771	54.4	protein_coding
HORVU5Hr1G107510	chr5H	627188404	627192704	43.44	protein_coding
HORVU2Hr1G039130	chr2H	187237739	187253322	42.01	protein_coding
HORVU7Hr1G084790	chr7H	510832357	510833658	56.07	protein_coding
HORVU5Hr1G073970	chr5H	541554918	541559770	49.21	protein_coding
HORVU5Hr1G124380	chr5H	666128057	666130450	55.93	protein_coding
HORVU2Hr1G020540	chr2H	56074809	56080005	42.71	protein_coding
HORVU5Hr1G087410	chr5H	578563452	578564985	46.09	protein_coding
HORVU7Hr1G067060	chr7H	347129641	347132081	44.61	protein_coding
HORVU5Hr1G103050	chr5H	614786622	614787295	68.34	protein_coding
HORVU7Hr1G058560	chr7H	259851660	259851854	48.72	protein_coding
HORVU1Hr1G095110	chr1H	557387532	557391499	47.97	protein_coding
HORVU5Hr1G124860	chr5H	667543190	667544638	41.89	protein_coding
HORVU5Hr1G113020	chr5H	640765717	640767035	55.72	protein_coding
HORVU7Hr1G009930	chr7H	13624091	13628937	43.8	protein_coding
HORVU6Hr1G006190	chr6H	13595753	13596248	45.16	protein_coding
HORVU2Hr1G040610	chr2H	196976359	197005566	45.43	protein_coding
HORVU5Hr1G082270	chr5H	567101929	567104629	35.95	protein_coding
HORVU7Hr1G056210	chr7H	233209841	233214046	41.11	protein_coding
HORVU1Hr1G093390	chr1H	552906529	552910738	53.18	protein_coding
HORVU7Hr1G020010	chr7H	27280893	27283269	43.54	protein_coding
HORVU5Hr1G107460	chr5H	626996966	627001018	43.28	protein_coding
HORVU7Hr1G005270	chr7H	7460820	7467109	51.75	protein_coding
HORVU5Hr1G124820	chr5H	667491456	667494739	40.32	protein_coding
HORVU5Hr1G100300	chr5H	611394983	611396231	50.2	protein_coding
HORVU2Hr1G052170	chr2H	309606174	309656410	47.07	protein_coding
HORVU7Hr1G002670	chr7H	4995027	4997009	50.68	protein_coding
HORVU6Hr1G009560	chr6H	17080541	17080732	52.08	protein_coding
HORVU5Hr1G081210	chr5H	563627247	563630499	48.23	protein_coding
HORVU7Hr1G010760	chr7H	15091813	15092412	69.67	protein_coding
HORVU2Hr1G008380	chr2H	17231510	17272659	45.43	protein_coding
HORVU5Hr1G097230	chr5H	603612507	603618542	41.07	protein_coding
HORVU7Hr1G083030	chr7H	500152706	500156353	42.32	protein_coding
HORVU5Hr1G074170	chr5H	542142682	542147141	46.85	protein_coding
HORVU7Hr1G038570	chr7H	98366795	98368065	63.18	protein_coding
HORVU2Hr1G052960	chr2H	320298174	320307879	47.19	protein_coding
HORVU7Hr1G037200	chr7H	88745975	88747261	43.98	protein_coding
HORVU5Hr1G105090	chr5H	620891293	620892320	56.32	protein_coding
HORVU1Hr1G073900	chr1H	505244500	505246396	55.28	protein_coding
HORVU7Hr1G081400	chr7H	485166398	485177694	43.37	protein_coding
HORVU5Hr1G088750	chr5H	582405739	582406836	50.4	protein_coding
HORVU7Hr1G074130	chr7H	422709101	422709738	45.61	protein_coding
HORVU5Hr1G096250	chr5H	600811826	600812762	53.36	protein_coding
HORVU7Hr1G002680	chr7H	5002832	5004051	36.86	protein_coding
HORVU5Hr1G078810	chr5H	555818907	555821349	46.21	protein_coding
HORVU7Hr1G028250	chr7H	51040903	51043976	46.69	protein_coding
HORVU2Hr1G006280	chr2H	13231362	13253569	43.5	protein_coding
HORVU5Hr1G118600	chr5H	653434620	653438472	51.44	protein_coding
HORVU7Hr1G024150	chr7H	38125653	38127139	37.73	protein_coding
HORVU5Hr1G088260	chr5H	581237623	581239806	64.3	protein_coding
HORVU5Hr1G100910	chr5H	612232645	612237716	44.99	protein_coding
HORVU7Hr1G061220	chr7H	285759629	285782957	48.34	protein_coding
HORVU5Hr1G073600	chr5H	540288376	540290522	56.68	protein_coding
HORVU7Hr1G020830	chr7H	28203216	28204125	55.71	protein_coding
HORVU5Hr1G103440	chr5H	616089601	616091764	59.84	protein_coding
HORVU7Hr1G010830	chr7H	15185861	15186430	40.53	protein_coding
HORVU1Hr1G077790	chr1H	518554761	518558462	46.79	protein_coding
HORVU7Hr1G030900	chr7H	62426296	62426901	46.86	protein_coding
HORVU5Hr1G097060	chr5H	603081538	603088903	49.31	protein_coding
HORVU7Hr1G005300	chr7H	7495214	7500164	39.2	protein_coding
HORVU2Hr1G000130	chr2H	281277	441669	45.94	protein_coding
HORVU7Hr1G035050	chr7H	75333619	75337088	51.56	protein_coding
HORVU6Hr1G020200	chr6H	55995334	55995921	69.73	protein_coding
HORVU2Hr1G013940	chr2H	30372662	30472925	43.53	protein_coding
HORVU5Hr1G098080	chr5H	606345399	606346254	62.5	protein_coding
HORVU7Hr1G022510	chr7H	32910990	32911670	61.09	protein_coding
HORVU2Hr1G013500	chr2H	29313641	29316636	44.66	protein_coding
HORVU7Hr1G091140	chr7H	556041360	556044066	52.09	protein_coding
HORVU5Hr1G119160	chr5H	654997712	655001342	0	nontranslating_CDS
HORVU1Hr1G091030	chr1H	547302883	547305423	62.57	protein_coding
HORVU7Hr1G082180	chr7H	491270408	491271492	42.76	protein_coding
HORVU5Hr1G093390	chr5H	591633650	591639220	44.23	protein_coding
HORVU7Hr1G028960	chr7H	53929435	53932577	46.39	protein_coding
HORVU6Hr1G000310	chr6H	898483	902413	41.39	protein_coding
HORVU2Hr1G033730	chr2H	134403521	134420781	44.56	protein_coding
HORVU5Hr1G115900	chr5H	647374845	647375900	53.03	protein_coding
HORVU7Hr1G085670	chr7H	518187329	518187476	68.92	protein_coding
HORVU1Hr1G081430	chr1H	527731660	527747537	48.66	protein_coding
HORVU6Hr1G018920	chr6H	49541658	49544373	44.37	protein_coding
HORVU5Hr1G114600	chr5H	644326750	644328324	52.95	protein_coding
HORVU2Hr1G020760	chr2H	57819696	57825918	54.97	protein_coding
HORVU7Hr1G082360	chr7H	493715468	493717192	60.7	protein_coding
HORVU5Hr1G106250	chr5H	623698095	623699953	62.02	protein_coding
HORVU5Hr1G108050	chr5H	627695693	627696186	58.5	protein_coding
HORVU7Hr1G031860	chr7H	65342606	65343521	58.95	protein_coding
HORVU5Hr1G106220	chr5H	623673155	623683242	45.63	protein_coding
HORVU2Hr1G017270	chr2H	40107707	40111565	47.95	protein_coding
HORVU7Hr1G086030	chr7H	520461730	520462010	40.93	protein_coding
HORVU5Hr1G075200	chr5H	546258332	546260686	54.27	protein_coding
HORVU2Hr1G007570	chr2H	15435502	15437541	54.36	protein_coding
HORVU7Hr1G073340	chr7H	414986077	414986955	0	nontranslating_CDS
HORVU5Hr1G122460	chr5H	662181326	662183670	43.8	protein_coding
HORVU7Hr1G024130	chr7H	38096969	38098327	66.3	protein_coding
HORVU7Hr1G032270	chr7H	66042709	66044291	54.9	protein_coding
HORVU2Hr1G042120	chr2H	210129004	210133176	43.94	protein_coding
HORVU5Hr1G072630	chr5H	536074415	536075163	55.27	protein_coding
HORVU6Hr1G021060	chr6H	61433037	61433249	59.62	protein_coding
HORVU7Hr1G059230	chr7H	264054465	264057015	50.73	protein_coding
HORVU6Hr1G005060	chr6H	10843447	10844295	56.3	protein_coding
HORVU2Hr1G030130	chr2H	110192249	110194670	49.53	protein_coding
HORVU7Hr1G073580	chr7H	417651748	417652575	54.11	protein_coding
HORVU5Hr1G113900	chr5H	642922807	642924096	53.29	protein_coding
HORVU7Hr1G020700	chr7H	27976945	27984293	46.82	protein_coding
HORVU6Hr1G015460	chr6H	34031719	34031895	44.63	protein_coding
HORVU5Hr1G120280	chr5H	657400980	657403298	50.02	protein_coding
HORVU1Hr1G083920	chr1H	532875177	532906600	41.76	nontranslating_CDS
HORVU7Hr1G025160	chr7H	41338433	41339640	59.19	protein_coding
HORVU5Hr1G110310	chr5H	632313258	632314222	50.78	protein_coding
HORVU7Hr1G003520	chr7H	6362167	6362526	61.62	protein_coding
HORVU7Hr1G027630	chr7H	49423912	49424873	64.66	protein_coding
HORVU6Hr1G012030	chr6H	22764300	22765010	54.43	protein_coding
HORVU7Hr1G031000	chr7H	62540774	62541217	60.81	protein_coding
HORVU5Hr1G070090	chr5H	526949584	526951616	45.7	protein_coding
HORVU7Hr1G031330	chr7H	63754152	63761725	46.75	protein_coding
HORVU5Hr1G084350	chr5H	572012710	572013390	57.56	protein_coding
HORVU5Hr1G089380	chr5H	584833746	584836733	44.61	protein_coding
HORVU1Hr1G075830	chr1H	512548267	512553635	42.02	protein_coding
HORVU5Hr1G079610	chr5H	557592406	557597777	46.2	protein_coding
HORVU7Hr1G036180	chr7H	83278444	83279568	54.76	protein_coding
HORVU5Hr1G103560	chr5H	616375797	616377354	44.35	protein_coding
HORVU7Hr1G006270	chr7H	8179314	8183411	45.07	protein_coding
HORVU5Hr1G114080	chr5H	643093556	643095409	57.61	protein_coding
HORVU5Hr1G123180	chr5H	663421413	663421987	71.13	protein_coding
HORVU7Hr1G079290	chr7H	467225328	467226379	61.69	protein_coding
HORVU2Hr1G044610	chr2H	232318934	232325879	46.31	protein_coding
HORVU5Hr1G073450	chr5H	539171679	539182324	42.14	protein_coding
HORVU7Hr1G039410	chr7H	103213068	103215544	66.25	protein_coding
HORVU5Hr1G091570	chr5H	586957939	586959362	43.19	protein_coding
HORVU7Hr1G091780	chr7H	560927220	560929397	48.48	protein_coding
HORVU5Hr1G106840	chr5H	625424581	625428069	43.08	protein_coding
HORVU2Hr1G003640	chr2H	8567063	8573033	47.46	protein_coding
HORVU5Hr1G070640	chr5H	529567912	529571510	48.29	protein_coding
HORVU7Hr1G034450	chr7H	72266045	72268184	40.42	protein_coding
HORVU6Hr1G017590	chr6H	41763797	41768997	42.41	protein_coding
HORVU6Hr1G004590	chr6H	10044161	10044623	39.52	protein_coding
HORVU1Hr1G087970	chr1H	540715009	540716791	54.85	protein_coding
HORVU5Hr1G069920	chr5H	526271437	526272562	65.99	protein_coding
HORVU7Hr1G052140	chr7H	197976152	197983637	43.04	protein_coding
HORVU5Hr1G079850	chr5H	558186148	558188278	61.66	protein_coding
HORVU1Hr1G080060	chr1H	524415888	524419507	45.36	protein_coding
HORVU6Hr1G016950	chr6H	38657406	38657549	52.78	protein_coding
HORVU7Hr1G036900	chr7H	87589686	87590197	66.02	protein_coding
HORVU6Hr1G010960	chr6H	19324872	19326871	49.4	protein_coding
HORVU5Hr1G095360	chr5H	598160670	598163216	62	nontranslating_CDS
HORVU7Hr1G033520	chr7H	68875291	68878110	58.05	protein_coding
HORVU5Hr1G122800	chr5H	662774254	662775321	60.39	protein_coding
HORVU1Hr1G079610	chr1H	523387690	523390568	56.37	protein_coding
HORVU7Hr1G067020	chr7H	346615118	346615567	44.89	protein_coding
HORVU5Hr1G072230	chr5H	535171982	535172675	40.63	protein_coding
HORVU5Hr1G092590	chr5H	588843293	588844000	60.59	protein_coding
HORVU1Hr1G076210	chr1H	513303112	513322516	44.29	protein_coding
HORVU5Hr1G075270	chr5H	546525342	546526770	57.61	protein_coding
HORVU7Hr1G074970	chr7H	431723897	431725231	60.45	protein_coding
HORVU5Hr1G083010	chr5H	569095713	569095910	53.54	protein_coding
HORVU2Hr1G053920	chr2H	331341762	331344156	40.29	protein_coding
HORVU5Hr1G076610	chr5H	551698670	551702126	38.56	protein_coding
HORVU7Hr1G073450	chr7H	416222739	416226637	55.37	protein_coding
HORVU6Hr1G006080	chr6H	13375100	13375963	58.56	protein_coding
HORVU5Hr1G070620	chr5H	529548094	529550018	43.67	protein_coding
HORVU2Hr1G030520	chr2H	112360955	112366308	41.16	protein_coding
HORVU6Hr1G016530	chr6H	37483614	37484994	45.33	protein_coding
HORVU6Hr1G005760	chr6H	12751029	12752051	59.91	protein_coding
HORVU7Hr1G038790	chr7H	99698236	99699472	53.03	protein_coding
HORVU5Hr1G070100	chr5H	526953237	526954907	64.15	protein_coding
HORVU1Hr1G091390	chr1H	548302372	548302861	71.63	protein_coding
HORVU7Hr1G007700	chr7H	10041864	10042682	48.72	protein_coding
HORVU5Hr1G075870	chr5H	548133067	548135976	0	nontranslating_CDS
HORVU5Hr1G111890	chr5H	637561523	637562530	56.16	protein_coding
HORVU1Hr1G085680	chr1H	536100359	536105421	40.08	protein_coding
HORVU7Hr1G089880	chr7H	546172752	546174037	58.32	protein_coding
HORVU5Hr1G106990	chr5H	625685010	625688302	43.21	protein_coding
HORVU1Hr1G080640	chr1H	525926235	525929316	47.79	protein_coding
HORVU6Hr1G013410	chr6H	27575175	27575408	40.17	protein_coding
HORVU7Hr1G030040	chr7H	58171206	58178764	48.62	protein_coding
HORVU6Hr1G008970	chr6H	16195605	16198491	58.61	protein_coding
HORVU2Hr1G010500	chr2H	19979439	19984168	45.18	protein_coding
HORVU5Hr1G094850	chr5H	597117130	597117465	50.3	protein_coding
HORVU2Hr1G004130	chr2H	9317186	9318025	69.52	protein_coding
HORVU6Hr1G005710	chr6H	12617685	12619508	56.54	protein_coding
HORVU2Hr1G020920	chr2H	58542905	58545093	51.94	protein_coding
HORVU2Hr1G010620	chr2H	20212654	20216076	43.5	protein_coding
HORVU5Hr1G098870	chr5H	608946282	608946970	0	nontranslating_CDS
HORVU7Hr1G042580	chr7H	124307828	124308295	57.48	protein_coding
HORVU2Hr1G022350	chr2H	64762107	64768532	40.05	protein_coding
HORVU5Hr1G099390	chr5H	610159225	610160964	57.4	protein_coding
HORVU7Hr1G079250	chr7H	466520320	466523191	52.16	protein_coding
HORVU7Hr1G077230	chr7H	451793511	451798304	43.01	protein_coding
HORVU6Hr1G015210	chr6H	33388765	33389611	65.88	protein_coding
HORVU7Hr1G043540	chr7H	132812157	132814076	59.48	protein_coding
HORVU7Hr1G002320	chr7H	4461393	4462714	75.86	protein_coding
HORVU5Hr1G082620	chr5H	568038766	568039758	63.24	protein_coding
HORVU5Hr1G092740	chr5H	589146160	589149501	46.92	protein_coding
HORVU7Hr1G029100	chr7H	54384581	54385222	58.72	protein_coding
HORVU2Hr1G014130	chr2H	30892369	30898664	41.52	protein_coding
HORVU7Hr1G083360	chr7H	502090949	502092564	51.42	protein_coding
HORVU6Hr1G014890	chr6H	32476324	32476509	45.16	protein_coding
HORVU7Hr1G079460	chr7H	469023784	469024924	59.16	protein_coding
HORVU5Hr1G113100	chr5H	640868753	640869271	0	nontranslating_CDS
HORVU7Hr1G063950	chr7H	315811521	315812067	48.08	protein_coding
HORVU6Hr1G017760	chr6H	42660012	42661537	67.02	protein_coding
HORVU7Hr1G039180	chr7H	102290316	102292591	59.31	protein_coding
HORVU5Hr1G087320	chr5H	578411633	578422050	38.66	protein_coding
HORVU1Hr1G094900	chr1H	556777408	556782253	48.47	protein_coding
HORVU5Hr1G115770	chr5H	647203863	647204749	0	nontranslating_CDS
HORVU7Hr1G027710	chr7H	49554441	49570023	52.31	protein_coding
HORVU1Hr1G089560	chr1H	544081077	544081372	58.11	protein_coding
HORVU5Hr1G097280	chr5H	603864269	603868171	44.56	protein_coding
HORVU7Hr1G085210	chr7H	515322177	515326910	47.49	protein_coding
HORVU1Hr1G082540	chr1H	529829043	529838367	44.1	protein_coding
HORVU7Hr1G026830	chr7H	46684532	46685686	42.77	protein_coding
HORVU5Hr1G112780	chr5H	640191182	640192226	44.59	protein_coding
HORVU7Hr1G078390	chr7H	459994204	459998710	0	nontranslating_CDS
HORVU2Hr1G033060	chr2H	130881675	130883877	58.01	protein_coding
HORVU7Hr1G047460	chr7H	159411422	159412563	52.19	protein_coding
HORVU5Hr1G125360	chr5H	668610119	668612207	48.49	protein_coding
HORVU5Hr1G112610	chr5H	639841344	639842539	59.11	protein_coding
HORVU5Hr1G095220	chr5H	597854137	597857093	58.4	protein_coding
HORVU7Hr1G054390	chr7H	216788559	216822414	44.63	protein_coding
HORVU5Hr1G117100	chr5H	650442760	650442900	60.99	protein_coding
HORVU7Hr1G076300	chr7H	445815006	445817001	46.39	protein_coding
HORVU5Hr1G115100	chr5H	645678075	645680490	58.4	protein_coding
HORVU7Hr1G025360	chr7H	41797393	41799082	43.91	protein_coding
HORVU1Hr1G077770	chr1H	518523566	518529444	42.88	protein_coding
HORVU7Hr1G090670	chr7H	552684535	552685357	34.51	protein_coding
HORVU6Hr1G014140	chr6H	30164589	30165128	0	nontranslating_CDS
HORVU5Hr1G102310	chr5H	614132079	614133239	47.98	protein_coding
HORVU5Hr1G092880	chr5H	589740128	589743997	47.98	protein_coding
HORVU7Hr1G087170	chr7H	525094534	525096429	54.8	protein_coding
HORVU5Hr1G099980	chr5H	611111367	611111863	55.33	protein_coding
HORVU6Hr1G008680	chr6H	15843523	15847165	52.37	protein_coding
HORVU1Hr1G081710	chr1H	528037255	528039957	50.91	protein_coding
HORVU7Hr1G047690	chr7H	160573234	160583900	40.88	protein_coding
HORVU6Hr1G015050	chr6H	32775077	32777178	53.04	protein_coding
HORVU6Hr1G004990	chr6H	10691525	10695891	50.89	protein_coding
HORVU7Hr1G061550	chr7H	289016756	289017233	45.61	protein_coding
HORVU5Hr1G113800	chr5H	642736091	642736554	74.1	protein_coding
HORVU5Hr1G119860	chr5H	656695340	656696557	54.6	protein_coding
HORVU2Hr1G044870	chr2H	234391505	234395098	53.78	protein_coding
HORVU7Hr1G020990	chr7H	28974653	28975757	60.08	protein_coding
HORVU6Hr1G021260	chr6H	63082575	63333071	44.95	protein_coding
HORVU5Hr1G091950	chr5H	587382491	587383522	58.24	protein_coding
HORVU7Hr1G053130	chr7H	206556709	206561156	47.44	protein_coding
HORVU5Hr1G095520	chr5H	598481379	598481876	70.48	protein_coding
HORVU6Hr1G004420	chr6H	9918069	9919870	41.02	protein_coding
HORVU5Hr1G095240	chr5H	597879702	597880426	66.48	protein_coding
HORVU2Hr1G013730	chr2H	29726748	29730404	47.68	protein_coding
HORVU6Hr1G001980	chr6H	5695266	5698973	44.42	protein_coding
HORVU7Hr1G052890	chr7H	204347479	204348479	48.65	protein_coding
HORVU6Hr1G013440	chr6H	27649916	27650612	42.61	nontranslating_CDS
HORVU5Hr1G109460	chr5H	630039071	630039937	57.44	protein_coding
HORVU7Hr1G059580	chr7H	268860680	268861342	42.84	protein_coding
HORVU7Hr1G078400	chr7H	460029844	460032585	44.09	protein_coding
HORVU6Hr1G021510	chr6H	65225890	65226862	67.61	protein_coding
HORVU1Hr1G095010	chr1H	556924891	556929224	57.73	protein_coding
HORVU6Hr1G001990	chr6H	5704211	5706283	52.24	protein_coding
HORVU5Hr1G082920	chr5H	568644058	568645038	39.56	protein_coding
HORVU7Hr1G035800	chr7H	80781631	80782860	56.78	protein_coding
HORVU5Hr1G123020	chr5H	663279378	663280901	0	nontranslating_CDS
HORVU7Hr1G045930	chr7H	147591029	147592127	36.76	protein_coding
HORVU5Hr1G123160	chr5H	663397690	663402446	45.22	protein_coding
HORVU5Hr1G105810	chr5H	622297770	622298685	59.28	protein_coding
HORVU5Hr1G095490	chr5H	598407159	598408523	57.51	protein_coding
HORVU7Hr1G026510	chr7H	45840334	45850837	43.34	protein_coding
HORVU1Hr1G095270	chr1H	557990435	557998121	45.84	protein_coding
HORVU5Hr1G096590	chr5H	601747301	601747585	42.46	protein_coding
HORVU7Hr1G089120	chr7H	540689692	540693022	45.37	protein_coding
HORVU5Hr1G069880	chr5H	526114584	526117899	49.58	protein_coding
HORVU1Hr1G084090	chr1H	533014528	533016569	45.59	protein_coding
HORVU7Hr1G046910	chr7H	154906913	154912643	32.04	protein_coding
HORVU5Hr1G080430	chr5H	560586710	560588220	55.72	protein_coding
HORVU7Hr1G025320	chr7H	41703738	41705528	56.11	protein_coding
HORVU5Hr1G087170	chr5H	577973677	577974474	53.13	protein_coding
HORVU2Hr1G015760	chr2H	35061057	35067381	44.51	protein_coding
HORVU5Hr1G093900	chr5H	593344311	593345096	72.36	protein_coding
HORVU7Hr1G091270	chr7H	557560106	557647651	44.98	protein_coding
HORVU5Hr1G094820	chr5H	597069548	597071790	66.74	protein_coding
HORVU2Hr1G020310	chr2H	54754731	54761533	45.24	protein_coding
HORVU6Hr1G018020	chr6H	44139586	44140334	0	nontranslating_CDS
HORVU7Hr1G021380	chr7H	30401727	30405121	38.5	protein_coding
HORVU5Hr1G087580	chr5H	578916890	578917639	45.59	protein_coding
HORVU6Hr1G001830	chr6H	5456597	5456987	48.34	protein_coding
HORVU1Hr1G080780	chr1H	526214309	526217352	51.91	protein_coding
HORVU7Hr1G036290	chr7H	83636776	83636944	65.09	protein_coding
HORVU5Hr1G080840	chr5H	562255192	562257064	63.16	protein_coding
HORVU5Hr1G115410	chr5H	646484467	646484856	76.92	protein_coding
HORVU7Hr1G043010	chr7H	127188009	127189999	59.42	protein_coding
HORVU7Hr1G021280	chr7H	30073001	30075177	48.83	protein_coding
HORVU2Hr1G019120	chr2H	49745328	49756195	43.22	protein_coding
HORVU7Hr1G022010	chr7H	31790328	31792062	64.78	protein_coding
HORVU5Hr1G110120	chr5H	631908950	631912859	41.75	protein_coding
HORVU2Hr1G050450	chr2H	291540968	291577909	49.45	nontranslating_CDS
HORVU6Hr1G013160	chr6H	26383232	26384140	62.82	protein_coding
HORVU7Hr1G036570	chr7H	85583625	85584772	56.97	protein_coding
HORVU5Hr1G084430	chr5H	572386177	572387617	66.69	protein_coding
HORVU2Hr1G014690	chr2H	32016967	32019804	0	nontranslating_CDS
HORVU5Hr1G106000	chr5H	623101853	623102906	68.12	protein_coding
HORVU7Hr1G042680	chr7H	125104555	125106659	49.26	protein_coding
HORVU5Hr1G071780	chr5H	533835659	533838105	63.87	protein_coding
HORVU7Hr1G035670	chr7H	79740680	79746046	38.77	protein_coding
HORVU5Hr1G083950	chr5H	570750560	570750900	44.57	protein_coding
HORVU7Hr1G019860	chr7H	26890527	26892816	48.38	protein_coding
HORVU5Hr1G080690	chr5H	561954334	561958001	51.12	protein_coding
HORVU6Hr1G009160	chr6H	16402809	16408957	39.1	protein_coding
HORVU5Hr1G089160	chr5H	584269639	584271366	48.5	protein_coding
HORVU2Hr1G029330	chr2H	104553910	104562369	41.91	protein_coding
HORVU7Hr1G083050	chr7H	500316740	500318187	0	nontranslating_CDS
HORVU5Hr1G079580	chr5H	557506612	557507922	70.48	protein_coding
HORVU7Hr1G034710	chr7H	73612271	73613139	71.46	protein_coding
HORVU7Hr1G087180	chr7H	525097087	525099273	65.07	protein_coding
HORVU5Hr1G085700	chr5H	575454495	575455234	44.86	protein_coding
HORVU7Hr1G055890	chr7H	229822332	229823428	52.69	protein_coding
HORVU5Hr1G071530	chr5H	533301224	533302301	39.52	protein_coding
HORVU5Hr1G071550	chr5H	533305589	533306457	48.33	protein_coding
HORVU7Hr1G025670	chr7H	42745031	42784940	46.36	protein_coding
HORVU6Hr1G002230	chr6H	6137844	6140858	52.64	protein_coding
HORVU5Hr1G116070	chr5H	647484833	647486940	58.87	protein_coding
HORVU7Hr1G058910	chr7H	261928776	261929573	36.87	protein_coding
HORVU6Hr1G011080	chr6H	19546565	19546774	54.76	protein_coding
HORVU5Hr1G079410	chr5H	556818409	556819300	43.06	protein_coding
HORVU5Hr1G079710	chr5H	557855531	557855943	59.81	protein_coding
HORVU1Hr1G093120	chr1H	552383895	552388692	42.85	protein_coding
HORVU6Hr1G002110	chr6H	5978278	5987163	44.53	protein_coding
HORVU7Hr1G065120	chr7H	323354160	323358607	0	nontranslating_CDS
HORVU6Hr1G004340	chr6H	9814995	9816437	40.19	protein_coding
HORVU7Hr1G034130	chr7H	70578839	70582560	44.65	protein_coding
HORVU5Hr1G089020	chr5H	583333391	583335449	66.1	protein_coding
HORVU2Hr1G029450	chr2H	105141752	105195966	46.05	nontranslating_CDS
HORVU1Hr1G077190	chr1H	516505200	516509409	50.78	protein_coding
HORVU7Hr1G015760	chr7H	21069714	21072995	0	nontranslating_CDS
HORVU5Hr1G072700	chr5H	536369525	536371448	41.74	protein_coding
HORVU2Hr1G019150	chr2H	49877271	49885357	51.55	protein_coding
HORVU1Hr1G093260	chr1H	552543829	552543928	50	protein_coding
HORVU5Hr1G076430	chr5H	551160459	551162661	58.56	protein_coding
HORVU5Hr1G122830	chr5H	662922938	662927084	47.2	protein_coding
HORVU2Hr1G022060	chr2H	63277454	63278069	64.94	protein_coding
HORVU6Hr1G001800	chr6H	5433192	5435502	48.33	protein_coding
HORVU7Hr1G024240	chr7H	38495300	38496633	68.25	protein_coding
HORVU7Hr1G086110	chr7H	520475139	520475596	58.52	protein_coding
HORVU7Hr1G090700	chr7H	552697564	552699966	47.69	protein_coding
HORVU6Hr1G011510	chr6H	21084511	21085391	56.75	protein_coding
HORVU2Hr1G033540	chr2H	133276129	133321432	49.66	protein_coding
HORVU7Hr1G052750	chr7H	202585118	202590479	48.25	protein_coding
HORVU1Hr1G090780	chr1H	547044966	547052460	44.99	protein_coding
HORVU7Hr1G057780	chr7H	254295694	254296831	46.84	protein_coding
HORVU5Hr1G088940	chr5H	582938915	582945845	39.99	protein_coding
HORVU7Hr1G008090	chr7H	10564315	10567153	61.35	protein_coding
HORVU6Hr1G020900	chr6H	60850305	60851036	39.34	protein_coding
HORVU7Hr1G067180	chr7H	349402473	349403033	61.68	protein_coding
HORVU6Hr1G002600	chr6H	6738204	6740696	65.1	protein_coding
HORVU5Hr1G084600	chr5H	572820260	572821303	63.31	protein_coding
HORVU7Hr1G022800	chr7H	34126605	34127173	63.62	protein_coding
HORVU1Hr1G083050	chr1H	531054350	531067529	0	nontranslating_CDS
HORVU7Hr1G080800	chr7H	479677278	479681819	50.15	protein_coding
HORVU5Hr1G078540	chr5H	555145648	555147063	53.32	protein_coding
HORVU5Hr1G084590	chr5H	572734077	572735605	57.55	protein_coding
HORVU5Hr1G116850	chr5H	649188710	649189224	59.61	protein_coding
HORVU5Hr1G109380	chr5H	629820596	629823356	44.51	protein_coding
HORVU1Hr1G079310	chr1H	522706283	522710621	49.6	protein_coding
HORVU7Hr1G089410	chr7H	542851322	542858437	41.25	protein_coding
HORVU5Hr1G122410	chr5H	662104739	662105433	46.91	protein_coding
HORVU5Hr1G110050	chr5H	631791999	631793880	51.33	protein_coding
HORVU5Hr1G111340	chr5H	635934752	635939335	46.95	protein_coding
HORVU7Hr1G076590	chr7H	448207206	448210106	50.47	protein_coding
HORVU2Hr1G032690	chr2H	127655338	127657558	53.83	protein_coding
HORVU7Hr1G008810	chr7H	11462742	11463849	0	nontranslating_CDS
HORVU6Hr1G016800	chr6H	38203439	38205264	44.74	protein_coding
