# List of all Hordeum genes mapped on one of the seven chromosomes of the Hv_IBSC_PGSB_v21			
# Chromosome / Start position of the gene (in bp from the origin of the chromosome)			
# with local recombination rate estimates (from MareyMap):  loess with span=0.2 and degree=2			
Gene	Chromosome	Start	Recombination
HORVU1Hr1G010520	1H	24038202	0.93
HORVU1Hr1G015560	1H	46501536	0.17
HORVU1Hr1G038230	1H	264016482	0
HORVU1Hr1G055030	1H	404460774	0.12
HORVU1Hr1G047090	1H	347098443	0.02
HORVU1Hr1G087920	1H	540654606	0.98
HORVU1Hr1G069420	1H	485318531	0.57
HORVU1Hr1G092840	1H	551570506	0.76
HORVU1Hr1G047610	1H	351865784	0.03
HORVU1Hr1G062900	1H	451729468	0.22
HORVU1Hr1G027490	1H	140145386	0
HORVU1Hr1G015270	1H	44209940	0.22
HORVU1Hr1G048830	1H	362142404	0.05
HORVU1Hr1G013240	1H	34447748	0.38
HORVU1Hr1G088300	1H	541485679	0.93
HORVU1Hr1G062470	1H	449873499	0.19
HORVU1Hr1G014030	1H	38708537	0.39
HORVU1Hr1G045920	1H	334697381	0
HORVU1Hr1G045490	1H	330477260	0
HORVU1Hr1G019930	1H	75608501	0.03
HORVU1Hr1G065470	1H	467483043	0.43
HORVU1Hr1G023170	1H	101372852	0.02
HORVU1Hr1G054580	1H	402965085	0.12
HORVU1Hr1G007300	1H	14343812	1.61
HORVU1Hr1G073170	1H	501616869	0.63
HORVU1Hr1G051420	1H	381147276	0.08
HORVU1Hr1G028820	1H	158586780	-0.01
HORVU1Hr1G017710	1H	61124506	0.03
HORVU1Hr1G015810	1H	48267027	0.13
HORVU1Hr1G017580	1H	59794397	0.03
HORVU1Hr1G013730	1H	36947715	0.43
HORVU1Hr1G013880	1H	37601563	0.43
HORVU1Hr1G044310	1H	322381550	0
HORVU1Hr1G016700	1H	55070614	0.04
HORVU1Hr1G036720	1H	248800146	0
HORVU1Hr1G015350	1H	44951811	0.2
HORVU1Hr1G046870	1H	344583893	0.02
HORVU1Hr1G085570	1H	535891337	1.26
HORVU1Hr1G052780	1H	390789720	0.09
HORVU1Hr1G009030	1H	20168302	1.2
HORVU1Hr1G055860	1H	409307896	0.14
HORVU1Hr1G050470	1H	373430557	0.07
HORVU1Hr1G055080	1H	404470199	0.12
HORVU1Hr1G059890	1H	435325093	0.14
HORVU1Hr1G052660	1H	390134210	0.09
HORVU1Hr1G020360	1H	79212696	0.02
HORVU1Hr1G035210	1H	230958130	0
HORVU1Hr1G062160	1H	448240781	0.18
HORVU1Hr1G005410	1H	11796869	1.65
HORVU1Hr1G055440	1H	406338102	0.13
HORVU1Hr1G045630	1H	331597741	0
HORVU1Hr1G017700	1H	61118615	0.03
HORVU1Hr1G088440	1H	541727166	0.92
HORVU1Hr1G027690	1H	143351069	0
HORVU1Hr1G057570	1H	420229299	0.16
HORVU1Hr1G027660	1H	142831749	0
HORVU1Hr1G034470	1H	221394052	-0.01
HORVU1Hr1G040050	1H	282823330	0
HORVU1Hr1G004530	1H	9262890	1.73
HORVU1Hr1G051080	1H	379125023	0.07
HORVU1Hr1G008510	1H	18605250	1.32
HORVU1Hr1G038150	1H	262633695	0
HORVU1Hr1G029290	1H	163253559	-0.01
HORVU1Hr1G025940	1H	128736526	0
HORVU1Hr1G036670	1H	247593025	0
HORVU1Hr1G044530	1H	323431234	0
HORVU1Hr1G020270	1H	78980344	0.02
HORVU1Hr1G057140	1H	418514975	0.16
HORVU1Hr1G002840	1H	5769013	1.86
HORVU1Hr1G060090	1H	437054550	0.18
HORVU1Hr1G043090	1H	312894865	0
HORVU1Hr1G029890	1H	167687222	-0.01
HORVU1Hr1G025440	1H	123663572	0.01
HORVU1Hr1G025190	1H	120883425	0.01
HORVU1Hr1G069480	1H	485637467	0.57
HORVU1Hr1G089360	1H	543760753	0.89
HORVU1Hr1G057460	1H	419378870	0.16
HORVU1Hr1G063590	1H	456208061	0.29
HORVU1Hr1G047710	1H	352325728	0.03
HORVU1Hr1G050070	1H	371448246	0.06
HORVU1Hr1G068950	1H	482728251	0.55
HORVU1Hr1G027570	1H	141096030	0
HORVU1Hr1G024220	1H	109039019	0.02
HORVU1Hr1G019940	1H	75705158	0.03
HORVU1Hr1G000440	1H	1286405	1.96
HORVU1Hr1G029880	1H	167475192	-0.01
HORVU1Hr1G005500	1H	12034702	1.64
HORVU1Hr1G008650	1H	18846019	1.3
HORVU1Hr1G042600	1H	309272436	0
HORVU1Hr1G089520	1H	544022295	0.89
HORVU1Hr1G067590	1H	478455706	0.52
HORVU1Hr1G063460	1H	455555829	0.27
HORVU1Hr1G090190	1H	545513604	0.89
HORVU1Hr1G013540	1H	35996406	0.38
HORVU1Hr1G094180	1H	554732109	0.67
HORVU1Hr1G001150	1H	2664240	1.93
HORVU1Hr1G068220	1H	480728394	0.54
HORVU1Hr1G004520	1H	9259160	1.73
HORVU1Hr1G086200	1H	536983577	1.15
HORVU1Hr1G038240	1H	264021051	0
HORVU1Hr1G087040	1H	538553991	1.14
HORVU1Hr1G021750	1H	88953586	0.04
HORVU1Hr1G000550	1H	1505982	1.95
HORVU1Hr1G009070	1H	20191510	1.2
HORVU1Hr1G032090	1H	197938635	-0.01
HORVU1Hr1G050530	1H	374506752	0.07
HORVU1Hr1G052580	1H	389628734	0.09
HORVU1Hr1G049920	1H	369669475	0.06
HORVU1Hr1G018380	1H	67297058	0.09
HORVU1Hr1G067480	1H	478253894	0.52
HORVU1Hr1G020140	1H	77984088	0.02
HORVU1Hr1G070230	1H	488763591	0.58
HORVU1Hr1G064180	1H	458915520	0.34
HORVU1Hr1G017870	1H	61750115	0.03
HORVU1Hr1G042440	1H	307756176	0
HORVU1Hr1G005170	1H	11252992	1.68
HORVU1Hr1G004410	1H	9130776	1.74
HORVU1Hr1G052350	1H	388353513	0.09
HORVU1Hr1G012790	1H	32301748	0.47
HORVU1Hr1G048360	1H	357284768	0.03
HORVU1Hr1G037580	1H	257475734	0
HORVU1Hr1G071160	1H	492209466	0.6
HORVU1Hr1G021680	1H	88346056	0.04
HORVU1Hr1G086920	1H	538415191	1.15
HORVU1Hr1G059240	1H	431990669	0.11
HORVU1Hr1G037990	1H	261277957	0
HORVU1Hr1G095340	1H	558135576	0.56
HORVU1Hr1G067460	1H	478177424	0.52
HORVU1Hr1G025340	1H	121994096	0.01
HORVU1Hr1G020570	1H	81431827	0.03
HORVU1Hr1G094450	1H	555417972	0.65
HORVU1Hr1G032600	1H	201371905	-0.01
HORVU1Hr1G015490	1H	45619173	0.19
HORVU1Hr1G088680	1H	542278928	0.9
HORVU1Hr1G004440	1H	9163281	1.74
HORVU1Hr1G026920	1H	139116573	0
HORVU1Hr1G059380	1H	432921187	0.12
HORVU1Hr1G003890	1H	8447650	1.76
HORVU1Hr1G011120	1H	26318123	0.79
HORVU1Hr1G061010	1H	442734789	0.16
HORVU1Hr1G045170	1H	328120373	0
HORVU1Hr1G068500	1H	481468605	0.54
HORVU1Hr1G003370	1H	7424084	1.8
HORVU1Hr1G066150	1H	470812037	0.46
HORVU1Hr1G007830	1H	16614810	1.58
HORVU1Hr1G029180	1H	161555024	-0.01
HORVU1Hr1G041310	1H	294298483	0
HORVU1Hr1G048160	1H	355738761	0.03
HORVU1Hr1G039260	1H	275290250	0
HORVU1Hr1G070600	1H	490369972	0.59
HORVU1Hr1G050960	1H	378189740	0.07
HORVU1Hr1G073070	1H	501000400	0.63
HORVU1Hr1G040330	1H	285157266	0
HORVU1Hr1G047370	1H	350112661	0.03
HORVU1Hr1G094800	1H	556417114	0.62
HORVU1Hr1G037800	1H	260235102	0
HORVU1Hr1G068330	1H	481084399	0.54
HORVU1Hr1G020560	1H	81291686	0.03
HORVU1Hr1G067470	1H	478192712	0.52
HORVU1Hr1G093180	1H	552450872	0.74
HORVU1Hr1G060580	1H	439721533	0.17
HORVU1Hr1G035100	1H	229655951	0
HORVU1Hr1G003320	1H	7321806	1.81
HORVU1Hr1G007850	1H	16803977	1.56
HORVU1Hr1G012840	1H	32368123	0.47
HORVU1Hr1G072530	1H	498116023	0.61
HORVU1Hr1G048840	1H	362147439	0.05
HORVU1Hr1G031600	1H	191959614	-0.01
HORVU1Hr1G054290	1H	401458699	0.12
HORVU1Hr1G090640	1H	546610709	0.88
HORVU1Hr1G011260	1H	26858162	0.76
HORVU1Hr1G062530	1H	450208347	0.2
HORVU1Hr1G085500	1H	535700123	1.28
HORVU1Hr1G061760	1H	446720368	0.17
HORVU1Hr1G001660	1H	3766915	1.91
HORVU1Hr1G004830	1H	10080270	1.72
HORVU1Hr1G006240	1H	13131743	1.58
HORVU1Hr1G029850	1H	167188888	-0.01
HORVU1Hr1G087760	1H	539977005	1.03
HORVU1Hr1G026060	1H	130131382	0
HORVU1Hr1G069960	1H	487810627	0.58
HORVU1Hr1G046110	1H	337135138	0.01
HORVU1Hr1G089730	1H	544734788	0.9
HORVU1Hr1G087010	1H	538502209	1.14
HORVU1Hr1G059510	1H	433688962	0.12
HORVU1Hr1G019580	1H	73929575	0.03
HORVU1Hr1G055380	1H	406092645	0.13
HORVU1Hr1G053670	1H	396737001	0.1
HORVU1Hr1G094870	1H	556670255	0.61
HORVU1Hr1G066820	1H	474082881	0.48
HORVU1Hr1G003700	1H	8138245	1.77
HORVU1Hr1G005090	1H	11138897	1.68
HORVU1Hr1G012060	1H	29909493	0.59
HORVU1Hr1G034730	1H	224699536	-0.01
HORVU1Hr1G021660	1H	88167770	0.04
HORVU1Hr1G023960	1H	106628543	0.02
HORVU1Hr1G091970	1H	549322613	0.82
HORVU1Hr1G069450	1H	485535395	0.57
HORVU1Hr1G068160	1H	480435430	0.54
HORVU1Hr1G070810	1H	491676727	0.6
HORVU1Hr1G070720	1H	491027787	0.59
HORVU1Hr1G058630	1H	427856216	0.15
HORVU1Hr1G053990	1H	398652421	0.11
HORVU1Hr1G088570	1H	542001549	0.91
HORVU1Hr1G050220	1H	372663818	0.07
HORVU1Hr1G020020	1H	77001065	0.02
HORVU1Hr1G011630	1H	28128239	0.69
HORVU1Hr1G064020	1H	458109639	0.33
HORVU1Hr1G024300	1H	110313304	0.02
HORVU1Hr1G058870	1H	428938831	0.13
HORVU1Hr1G028690	1H	157340185	-0.01
HORVU1Hr1G042350	1H	306251237	0
HORVU1Hr1G072780	1H	498975383	0.62
HORVU1Hr1G016600	1H	53580054	0.05
HORVU1Hr1G071770	1H	494784437	0.61
HORVU1Hr1G009580	1H	21428701	1.11
HORVU1Hr1G071930	1H	495404555	0.61
HORVU1Hr1G010740	1H	24727610	0.89
HORVU1Hr1G036970	1H	251165014	0
HORVU1Hr1G008370	1H	18467379	1.33
HORVU1Hr1G069640	1H	486545365	0.57
HORVU1Hr1G051730	1H	383695823	0.08
HORVU1Hr1G005700	1H	12468282	1.62
HORVU1Hr1G089580	1H	544155203	0.89
HORVU1Hr1G065570	1H	467930783	0.44
HORVU1Hr1G002690	1H	5280081	1.88
HORVU1Hr1G031430	1H	188868838	-0.01
HORVU1Hr1G044570	1H	324020721	0
HORVU1Hr1G056580	1H	415024185	0.14
HORVU1Hr1G071060	1H	492108076	0.6
HORVU1Hr1G060340	1H	438865496	0.17
HORVU1Hr1G002740	1H	5502121	1.87
HORVU1Hr1G013990	1H	38319950	0.41
HORVU1Hr1G027550	1H	141090122	0
HORVU1Hr1G058700	1H	427972885	0.15
HORVU1Hr1G011020	1H	26210756	0.8
HORVU1Hr1G032060	1H	197717167	-0.01
HORVU1Hr1G036820	1H	249121741	0
HORVU1Hr1G012350	1H	31062452	0.53
HORVU1Hr1G047440	1H	350897441	0.03
HORVU1Hr1G072210	1H	496657261	0.61
HORVU1Hr1G046230	1H	338698432	0.01
HORVU1Hr1G036120	1H	241648286	0
HORVU1Hr1G053520	1H	395995200	0.1
HORVU1Hr1G031540	1H	191053777	-0.01
HORVU1Hr1G062030	1H	447425689	0.17
HORVU1Hr1G007810	1H	16449549	1.59
HORVU1Hr1G061720	1H	446338031	0.17
HORVU1Hr1G054230	1H	400987480	0.11
HORVU1Hr1G020500	1H	80950251	0.03
HORVU1Hr1G072190	1H	496442897	0.61
HORVU1Hr1G009920	1H	22229888	1.05
HORVU1Hr1G044260	1H	322304334	0
HORVU1Hr1G000600	1H	1546020	1.95
HORVU1Hr1G037000	1H	251208506	0
HORVU1Hr1G031680	1H	193915007	-0.01
HORVU1Hr1G014640	1H	40773731	0.32
HORVU1Hr1G038040	1H	261300447	0
HORVU1Hr1G000730	1H	1932835	1.94
HORVU1Hr1G057970	1H	422891831	0.16
HORVU1Hr1G028280	1H	152295627	-0.01
HORVU1Hr1G087910	1H	540653908	0.98
HORVU1Hr1G054090	1H	399426577	0.11
HORVU1Hr1G092370	1H	550484748	0.79
HORVU1Hr1G022870	1H	99299716	0.03
HORVU1Hr1G022380	1H	94568086	0.03
HORVU1Hr1G087620	1H	539699799	1.05
HORVU1Hr1G000330	1H	1074386	1.96
HORVU1Hr1G050720	1H	376098627	0.07
HORVU1Hr1G002710	1H	5293760	1.88
HORVU1Hr1G093370	1H	552706335	0.73
HORVU1Hr1G058600	1H	427692006	0.15
HORVU1Hr1G091550	1H	548710586	0.84
HORVU1Hr1G037050	1H	251423533	0
HORVU1Hr1G016060	1H	49152013	0.11
HORVU1Hr1G031970	1H	196891816	-0.01
HORVU1Hr1G030000	1H	170094797	-0.01
HORVU1Hr1G064110	1H	458643322	0.33
HORVU1Hr1G038020	1H	261292920	0
HORVU1Hr1G036980	1H	251178577	0
HORVU1Hr1G087600	1H	539679073	1.05
HORVU1Hr1G067520	1H	478322510	0.52
HORVU1Hr1G069710	1H	486898769	0.57
HORVU1Hr1G049250	1H	364934641	0.05
HORVU1Hr1G049800	1H	368759387	0.06
HORVU1Hr1G055900	1H	409516400	0.14
HORVU1Hr1G015670	1H	47243950	0.15
HORVU1Hr1G052740	1H	390671612	0.09
HORVU1Hr1G092430	1H	550495135	0.79
HORVU1Hr1G007800	1H	16446297	1.59
HORVU1Hr1G021410	1H	86184935	0.04
HORVU1Hr1G087440	1H	539277079	1.09
HORVU1Hr1G001520	1H	3643795	1.91
HORVU1Hr1G052150	1H	386563587	0.09
HORVU1Hr1G028090	1H	147667489	-0.01
HORVU1Hr1G023820	1H	105889894	0.02
HORVU1Hr1G071810	1H	494910477	0.61
HORVU1Hr1G059970	1H	435643894	0.15
HORVU1Hr1G056420	1H	413911054	0.14
HORVU1Hr1G012090	1H	29942146	0.59
HORVU1Hr1G047410	1H	350493663	0.03
HORVU1Hr1G003050	1H	6348635	1.84
HORVU1Hr1G061070	1H	443090309	0.16
HORVU1Hr1G065710	1H	468697123	0.44
HORVU1Hr1G089940	1H	544982285	0.9
HORVU1Hr1G060420	1H	439081468	0.17
HORVU1Hr1G017520	1H	59608367	0.03
HORVU1Hr1G072200	1H	496571922	0.61
HORVU1Hr1G067990	1H	479735762	0.53
HORVU1Hr1G049190	1H	364662623	0.05
HORVU1Hr1G010930	1H	25940165	0.81
HORVU1Hr1G041320	1H	294478399	0
HORVU1Hr1G028680	1H	156960838	-0.01
HORVU1Hr1G058930	1H	429188434	0.13
HORVU1Hr1G088180	1H	541113257	0.95
HORVU1Hr1G053880	1H	397201404	0.11
HORVU1Hr1G046100	1H	337067390	0.01
HORVU1Hr1G068430	1H	481304890	0.54
HORVU1Hr1G058480	1H	427094732	0.16
HORVU1Hr1G068600	1H	481702932	0.54
HORVU1Hr1G027140	1H	139174418	0
HORVU1Hr1G040420	1H	285704460	0
HORVU1Hr1G052770	1H	390690911	0.09
HORVU1Hr1G038120	1H	262046320	0
HORVU1Hr1G009880	1H	22161111	1.06
HORVU1Hr1G056270	1H	412706100	0.15
HORVU1Hr1G060920	1H	442066084	0.16
HORVU1Hr1G049430	1H	365989189	0.06
HORVU1Hr1G035650	1H	237744656	0
HORVU1Hr1G024100	1H	107445975	0.02
HORVU1Hr1G035490	1H	235143811	0
HORVU1Hr1G012320	1H	30858766	0.54
HORVU1Hr1G011820	1H	28745749	0.65
HORVU1Hr1G048560	1H	360028161	0.04
HORVU1Hr1G020150	1H	78035552	0.02
HORVU1Hr1G010710	1H	24680681	0.89
HORVU1Hr1G016730	1H	55496864	0.04
HORVU1Hr1G044770	1H	325016372	0
HORVU1Hr1G091050	1H	547352214	0.86
HORVU1Hr1G062810	1H	451673282	0.21
HORVU1Hr1G045570	1H	331114822	0
HORVU1Hr1G025120	1H	119884855	0.01
HORVU1Hr1G027500	1H	140214329	0
HORVU1Hr1G065120	1H	465975623	0.42
HORVU1Hr1G057220	1H	418666836	0.16
HORVU1Hr1G054930	1H	404207619	0.12
HORVU1Hr1G054340	1H	401872251	0.12
HORVU1Hr1G009870	1H	22153185	1.06
HORVU1Hr1G058490	1H	427116653	0.16
HORVU1Hr1G022080	1H	92315890	0.03
HORVU1Hr1G002170	1H	4332906	1.9
HORVU1Hr1G061380	1H	444284026	0.16
HORVU1Hr1G070840	1H	491821626	0.6
HORVU1Hr1G072820	1H	499118472	0.62
HORVU1Hr1G066520	1H	472951480	0.47
HORVU1Hr1G018710	1H	69603547	0.06
HORVU1Hr1G031150	1H	184270591	-0.01
HORVU1Hr1G053790	1H	397057401	0.11
HORVU1Hr1G056380	1H	413754501	0.15
HORVU1Hr1G017670	1H	60972624	0.03
HORVU1Hr1G014140	1H	39127018	0.38
HORVU1Hr1G020690	1H	82141298	0.03
HORVU1Hr1G002640	1H	5166634	1.88
HORVU1Hr1G022780	1H	98549827	0.03
HORVU1Hr1G052470	1H	388968665	0.09
HORVU1Hr1G018680	1H	69398178	0.06
HORVU1Hr1G092790	1H	551516837	0.77
HORVU1Hr1G042590	1H	309271389	0
HORVU1Hr1G033320	1H	211634322	-0.01
HORVU1Hr1G070250	1H	488799144	0.58
HORVU1Hr1G062460	1H	449867304	0.19
HORVU1Hr1G000690	1H	1806855	1.94
HORVU1Hr1G053170	1H	393435176	0.1
HORVU1Hr1G008480	1H	18553802	1.32
HORVU1Hr1G012310	1H	30853195	0.54
HORVU1Hr1G014080	1H	38821792	0.39
HORVU1Hr1G070360	1H	489151928	0.59
HORVU1Hr1G033080	1H	207106139	-0.01
HORVU1Hr1G011210	1H	26712578	0.77
HORVU1Hr1G002770	1H	5584231	1.87
HORVU1Hr1G008440	1H	18489346	1.32
HORVU1Hr1G068030	1H	479986105	0.53
HORVU1Hr1G093680	1H	553762935	0.69
HORVU1Hr1G091990	1H	549363346	0.82
HORVU1Hr1G068580	1H	481644427	0.54
HORVU1Hr1G029020	1H	160813488	-0.01
HORVU1Hr1G053300	1H	394000527	0.1
HORVU1Hr1G058940	1H	429224451	0.13
HORVU1Hr1G071050	1H	492087928	0.6
HORVU1Hr1G043130	1H	313521325	0
HORVU1Hr1G036910	1H	249645375	0
HORVU1Hr1G093440	1H	553002266	0.72
HORVU1Hr1G071670	1H	494381005	0.61
HORVU1Hr1G055920	1H	409820775	0.14
HORVU1Hr1G052090	1H	386002591	0.09
HORVU1Hr1G049260	1H	365007068	0.05
HORVU1Hr1G094010	1H	554493805	0.67
HORVU1Hr1G060490	1H	439176870	0.17
HORVU1Hr1G000920	1H	2415651	1.93
HORVU1Hr1G018170	1H	65856588	0.07
HORVU1Hr1G041970	1H	303088375	0
HORVU1Hr1G023190	1H	101452725	0.02
HORVU1Hr1G009000	1H	20024059	1.21
HORVU1Hr1G000850	1H	2288201	1.93
HORVU1Hr1G023510	1H	103974787	0.02
HORVU1Hr1G038650	1H	268908349	0
HORVU1Hr1G090860	1H	547147128	0.87
HORVU1Hr1G069950	1H	487792027	0.58
HORVU1Hr1G069800	1H	486927424	0.58
HORVU1Hr1G034490	1H	221403368	-0.01
HORVU1Hr1G007460	1H	15273402	1.64
HORVU1Hr1G038740	1H	269447987	0
HORVU1Hr1G041110	1H	291593430	0
HORVU1Hr1G070410	1H	489317903	0.59
HORVU1Hr1G063620	1H	456418848	0.29
HORVU1Hr1G067530	1H	478388609	0.52
HORVU1Hr1G029640	1H	165596422	-0.01
HORVU1Hr1G091820	1H	549041874	0.83
HORVU1Hr1G015660	1H	47002240	0.16
HORVU1Hr1G049500	1H	366830180	0.06
HORVU1Hr1G015590	1H	46538509	0.17
HORVU1Hr1G087150	1H	538748199	1.13
HORVU1Hr1G005760	1H	12508776	1.62
HORVU1Hr1G056830	1H	416868388	0.15
HORVU1Hr1G039220	1H	274859161	0
HORVU1Hr1G071210	1H	492401512	0.6
HORVU1Hr1G072680	1H	498614322	0.62
HORVU1Hr1G093880	1H	554264191	0.68
HORVU1Hr1G062950	1H	451995105	0.22
HORVU1Hr1G042520	1H	308777429	0
HORVU1Hr1G056300	1H	413474847	0.15
HORVU1Hr1G005870	1H	12718452	1.61
HORVU1Hr1G002500	1H	5013433	1.89
HORVU1Hr1G002910	1H	5974506	1.86
HORVU1Hr1G036810	1H	249121165	0
HORVU1Hr1G056820	1H	416712999	0.15
HORVU1Hr1G025870	1H	128022845	0
HORVU1Hr1G067860	1H	479560428	0.53
HORVU1Hr1G064160	1H	458912977	0.34
HORVU1Hr1G093450	1H	553057632	0.72
HORVU1Hr1G072610	1H	498424804	0.62
HORVU1Hr1G092600	1H	550827699	0.79
HORVU1Hr1G009320	1H	20682891	1.16
HORVU1Hr1G049900	1H	369363272	0.06
HORVU1Hr1G088900	1H	543027975	0.89
HORVU1Hr1G091020	1H	547268573	0.86
HORVU1Hr1G024700	1H	115486723	0.01
HORVU1Hr1G035190	1H	230610220	0
HORVU1Hr1G058140	1H	423924433	0.16
HORVU1Hr1G032210	1H	198265713	-0.01
HORVU1Hr1G091450	1H	548409702	0.84
HORVU1Hr1G066130	1H	470757457	0.46
HORVU1Hr1G050780	1H	376489422	0.07
HORVU1Hr1G087360	1H	539127443	1.1
HORVU1Hr1G006950	1H	13725749	1.56
HORVU1Hr1G005730	1H	12495183	1.62
HORVU1Hr1G021550	1H	86789397	0.04
HORVU1Hr1G013470	1H	35676705	0.37
HORVU1Hr1G010560	1H	24303106	0.92
HORVU1Hr1G006290	1H	13160452	1.58
HORVU1Hr1G010980	1H	25982531	0.81
HORVU1Hr1G085940	1H	536567956	1.19
HORVU1Hr1G014280	1H	39612399	0.36
HORVU1Hr1G043050	1H	312534325	0
HORVU1Hr1G000170	1H	478663	NA
HORVU1Hr1G002040	1H	4261031	1.9
HORVU1Hr1G052230	1H	387189286	0.09
HORVU1Hr1G069370	1H	484965642	0.56
HORVU1Hr1G000370	1H	1171719	1.96
HORVU1Hr1G046350	1H	340243625	0.01
HORVU1Hr1G045590	1H	331179708	0
HORVU1Hr1G020710	1H	82454154	0.03
HORVU1Hr1G046610	1H	341755741	0.01
HORVU1Hr1G005910	1H	12889839	1.6
HORVU1Hr1G029680	1H	165602325	-0.01
HORVU1Hr1G057660	1H	420574729	0.16
HORVU1Hr1G091260	1H	547930756	0.85
HORVU1Hr1G037120	1H	252605740	0
HORVU1Hr1G069200	1H	483513627	0.56
HORVU1Hr1G067960	1H	479724245	0.53
HORVU1Hr1G071380	1H	492962627	0.6
HORVU1Hr1G017270	1H	58478818	0.03
HORVU1Hr1G000200	1H	602073	NA
HORVU1Hr1G085860	1H	536417213	1.21
HORVU1Hr1G020660	1H	81963547	0.03
HORVU1Hr1G018600	1H	68584248	0.07
HORVU1Hr1G020040	1H	77482222	0.02
HORVU1Hr1G015430	1H	45226082	0.2
HORVU1Hr1G029170	1H	161394381	-0.01
HORVU1Hr1G041860	1H	301167752	0
HORVU1Hr1G021100	1H	84261800	0.04
HORVU1Hr1G087530	1H	539476515	1.07
HORVU1Hr1G040980	1H	290021845	0
HORVU1Hr1G045530	1H	330766198	0
HORVU1Hr1G009300	1H	20551121	1.17
HORVU1Hr1G004880	1H	10195207	1.71
HORVU1Hr1G025200	1H	120883819	0.01
HORVU1Hr1G026100	1H	130372437	0
HORVU1Hr1G066200	1H	471124333	0.46
HORVU1Hr1G028210	1H	149739921	-0.01
HORVU1Hr1G052410	1H	388539639	0.09
HORVU1Hr1G031990	1H	197053957	-0.01
HORVU1Hr1G013840	1H	37377521	0.44
HORVU1Hr1G062640	1H	450967772	0.21
HORVU1Hr1G001920	1H	4165175	1.91
HORVU1Hr1G004980	1H	10765973	1.7
HORVU1Hr1G062170	1H	448247947	0.18
HORVU1Hr1G057410	1H	419337464	0.16
HORVU1Hr1G050560	1H	374864089	0.07
HORVU1Hr1G071460	1H	493269717	0.6
HORVU1Hr1G000470	1H	1339692	1.96
HORVU1Hr1G048870	1H	363031995	0.05
HORVU1Hr1G052620	1H	389943128	0.09
HORVU1Hr1G009600	1H	21508232	1.1
HORVU1Hr1G005990	1H	13013941	1.59
HORVU1Hr1G094440	1H	555408847	0.65
HORVU1Hr1G091150	1H	547480962	0.86
HORVU1Hr1G085870	1H	536421872	1.21
HORVU1Hr1G037500	1H	257030571	0
HORVU1Hr1G054510	1H	402653429	0.12
HORVU1Hr1G092680	1H	551348183	0.77
HORVU1Hr1G089460	1H	543886144	0.89
HORVU1Hr1G067110	1H	476364163	0.5
HORVU1Hr1G029240	1H	162655350	-0.01
HORVU1Hr1G050510	1H	374496987	0.07
HORVU1Hr1G048180	1H	355742429	0.03
HORVU1Hr1G046880	1H	344728284	0.02
HORVU1Hr1G042920	1H	311099522	0
HORVU1Hr1G053940	1H	398281263	0.11
HORVU1Hr1G023660	1H	104959326	0.02
HORVU1Hr1G007360	1H	14636011	1.62
HORVU1Hr1G023270	1H	101687469	0.02
HORVU1Hr1G012490	1H	31356072	0.52
HORVU1Hr1G002750	1H	5571792	1.87
HORVU1Hr1G004700	1H	9671179	1.73
HORVU1Hr1G007950	1H	17225409	1.51
HORVU1Hr1G068640	1H	481938187	0.55
HORVU1Hr1G006130	1H	13072004	1.58
HORVU1Hr1G058500	1H	427144050	0.16
HORVU1Hr1G095240	1H	557960891	0.57
HORVU1Hr1G062760	1H	451425884	0.21
HORVU1Hr1G052170	1H	386672724	0.09
HORVU1Hr1G024070	1H	107294359	0.02
HORVU1Hr1G071940	1H	495457089	0.61
HORVU1Hr1G057630	1H	420538033	0.16
HORVU1Hr1G091370	1H	548172665	0.85
HORVU1Hr1G028870	1H	159469269	-0.01
HORVU1Hr1G073340	1H	503131312	0.64
HORVU1Hr1G040200	1H	284471006	0
HORVU1Hr1G062590	1H	450928956	0.21
HORVU1Hr1G092850	1H	551572638	0.76
HORVU1Hr1G087820	1H	540278113	1
HORVU1Hr1G013970	1H	38111312	0.41
HORVU1Hr1G064780	1H	463010763	0.39
HORVU1Hr1G004820	1H	10060714	1.72
HORVU1Hr1G071010	1H	492041093	0.6
HORVU1Hr1G093150	1H	552406074	0.74
HORVU1Hr1G067300	1H	477744803	0.51
HORVU1Hr1G037950	1H	261088871	0
HORVU1Hr1G049650	1H	367819284	0.06
HORVU1Hr1G090980	1H	547231215	0.87
HORVU1Hr1G070800	1H	491672387	0.6
HORVU1Hr1G032260	1H	198792649	-0.01
HORVU1Hr1G091120	1H	547440286	0.86
HORVU1Hr1G073320	1H	502805136	0.64
HORVU1Hr1G047550	1H	351779346	0.03
HORVU1Hr1G067320	1H	477748733	0.51
HORVU1Hr1G037750	1H	259168819	0
HORVU1Hr1G003520	1H	7835028	1.79
HORVU1Hr1G065310	1H	466920832	0.43
HORVU1Hr1G049510	1H	366981341	0.06
HORVU1Hr1G012690	1H	31684461	0.5
HORVU1Hr1G001850	1H	4131050	1.91
HORVU1Hr1G049070	1H	364313398	0.05
HORVU1Hr1G045120	1H	327975006	0
HORVU1Hr1G027600	1H	141561006	0
HORVU1Hr1G059720	1H	434756830	0.13
HORVU1Hr1G068740	1H	481959004	0.55
HORVU1Hr1G046710	1H	342779014	0.01
HORVU1Hr1G053270	1H	393963164	0.1
HORVU1Hr1G035370	1H	232492252	0
HORVU1Hr1G018040	1H	63953327	0.05
HORVU1Hr1G055540	1H	406678498	0.13
