#	Marey	map	built	with	the	Hv_IBSC_PGSB_v21	version	of	the	Hordeum	genome	and	the	SNPJHutton	2012	genetic	map
#	Invalid	markers	checked	by	eye												
set	map	mkr	phys	gen	vld												
Hordeum	2H	SCRI_RS_213826	567249837	59.5	TRUE												
Hordeum	2H	SCRI_RS_216129	569506635	59.9	TRUE												
Hordeum	2H	SCRI_RS_219074	664063220	82.8	TRUE												
Hordeum	2H	SCRI_RS_219568	637284878	71	TRUE												
Hordeum	2H	SCRI_RS_219740	380735588	56.4	TRUE												
Hordeum	2H	SCRI_RS_219799	705855598	108	TRUE												
Hordeum	2H	SCRI_RS_220670	266196447	56.4	TRUE												
Hordeum	2H	SCRI_RS_220718	191451443	55.5	TRUE												
Hordeum	2H	SCRI_RS_221763	684500197	94.9	TRUE												
Hordeum	2H	SCRI_RS_221795	646001217	75.2	TRUE												
Hordeum	2H	SCRI_RS_221843	78370511	49.4	TRUE												
Hordeum	2H	SCRI_RS_221886	655481306	80.9	TRUE												
Hordeum	2H	SCRI_RS_221992	625293779	67.9	TRUE												
Hordeum	2H	SCRI_RS_222093	704370360	107.2	TRUE												
Hordeum	2H	SCRI_RS_222342	744580159	136	TRUE												
Hordeum	2H	SCRI_RS_222769	519108902	57.2	TRUE												
Hordeum	2H	SCRI_RS_222844	645587155	75.2	TRUE												
Hordeum	2H	SCRI_RS_223119	721191110	120	TRUE												
Hordeum	2H	SCRI_RS_223885	701038247	106.4	TRUE												
Hordeum	2H	SCRI_RS_223897	760693745	147.5	TRUE												
Hordeum	2H	SCRI_RS_223905	706350180	108.2	TRUE												
Hordeum	2H	SCRI_RS_224454	713163061	114.2	TRUE												
Hordeum	2H	SCRI_RS_224624	703711287	107.2	TRUE												
Hordeum	2H	SCRI_RS_225633	753436921	142.2	TRUE												
Hordeum	2H	SCRI_RS_225720	37521	0	TRUE												
Hordeum	2H	SCRI_RS_226348	19076303	12.5	TRUE												
Hordeum	2H	SCRI_RS_227482	755183681	144.1	TRUE												
Hordeum	2H	SCRI_RS_227525	759290310	146.4	TRUE												
Hordeum	2H	SCRI_RS_228319	758777437	146.1	TRUE												
Hordeum	2H	SCRI_RS_228442	213581308	55.9	TRUE												
Hordeum	2H	SCRI_RS_230497	746332765	138.5	TRUE												
Hordeum	2H	SCRI_RS_230951	738324555	132.6	TRUE												
Hordeum	2H	SCRI_RS_230984	403885145	56.5	TRUE												
Hordeum	2H	SCRI_RS_231015	760692853	147.5	TRUE												
Hordeum	2H	SCRI_RS_231021	723120597	121	TRUE												
Hordeum	2H	SCRI_RS_231057	14014392	8.9	TRUE												
Hordeum	2H	SCRI_RS_231725	534372992	57.7	TRUE												
Hordeum	2H	SCRI_RS_231746	193498639	55.5	TRUE												
Hordeum	2H	SCRI_RS_231782	82524534	50.8	TRUE												
Hordeum	2H	SCRI_RS_231806	18835372	12.1	TRUE												
Hordeum	2H	SCRI_RS_231889	20080141	13.4	TRUE												
Hordeum	2H	SCRI_RS_231897	324300399	56.5	TRUE												
Hordeum	2H	SCRI_RS_232669	308495899	56.5	TRUE												
Hordeum	2H	SCRI_RS_233261	742198183	135.6	TRUE												
Hordeum	2H	SCRI_RS_233272	27378150	18.9	TRUE												
Hordeum	2H	SCRI_RS_233449	520779436	57	TRUE												
Hordeum	2H	SCRI_RS_235063	525738592	57.4	TRUE												
Hordeum	2H	SCRI_RS_235221	657567674	81.5	TRUE												
Hordeum	2H	SCRI_RS_235261	711439540	113.5	TRUE												
Hordeum	2H	SCRI_RS_235694	269489874	56.4	TRUE												
Hordeum	2H	SCRI_RS_235860	647832363	76.9	TRUE												
Hordeum	2H	SCRI_RS_235874	642181195	74.1	TRUE												
Hordeum	2H	SCRI_RS_236164	266568369	56.4	TRUE												
Hordeum	2H	SCRI_RS_236521	759411970	146.5	TRUE												
Hordeum	2H	SCRI_RS_236995	248555783	56.4	TRUE												
Hordeum	2H	SCRI_RS_237094	74526181	48.6	TRUE												
Hordeum	2H	SCRI_RS_237481	663678788	82.5	TRUE												
Hordeum	2H	SCRI_RS_237688	494302335	57.1	TRUE												
Hordeum	2H	SCRI_RS_237763	672027652	86.6	TRUE												
Hordeum	2H	SCRI_RS_238424	103693793	52.9	TRUE												
Hordeum	2H	SCRI_RS_238605	725523910	123.9	TRUE												
Hordeum	2H	SCRI_RS_238606	707382968	109.3	TRUE												
Hordeum	2H	SCRI_RS_238760	700872961	107.2	TRUE												
Hordeum	2H	SCRI_RS_239231	76954511	49.2	TRUE												
Hordeum	2H	SCRI_RS_239674	720346207	119.8	TRUE												
Hordeum	2H	SCRI_RS_239742	645574758	75.2	TRUE												
Hordeum	2H	SCRI_RS_239882	31796285	23.2	TRUE												
Hordeum	2H	SCRI_RS_240011	353202666	56.2	TRUE												
Hordeum	2H	SCRI_RS_2552	721999331	120	TRUE												
Hordeum	2H	SCRI_RS_2911	672010835	86.6	TRUE												
Hordeum	2H	SCRI_RS_2961	646873475	76.1	TRUE												
Hordeum	2H	SCRI_RS_3376	655324614	80.9	TRUE												
Hordeum	2H	SCRI_RS_44952	743216831	135.6	TRUE												
Hordeum	2H	SCRI_RS_4691	748259317	139.6	TRUE												
Hordeum	2H	SCRI_RS_4802	581246836	60.8	TRUE												
Hordeum	2H	SCRI_RS_48964	696680874	106.4	TRUE												
Hordeum	2H	SCRI_RS_4930	648825898	77.3	TRUE												
Hordeum	2H	SCRI_RS_4969	516123554	57	TRUE												
Hordeum	2H	SCRI_RS_55840	239095743	56.2	TRUE												
Hordeum	2H	SCRI_RS_59851	613854115	64.4	TRUE												
Hordeum	2H	SCRI_RS_610	708263350	109.6	TRUE												
Hordeum	2H	SCRI_RS_6458	724986421	123.7	TRUE												
Hordeum	2H	SCRI_RS_6727	621087441	66.9	TRUE												
Hordeum	2H	SCRI_RS_6792	113478529	53.8	TRUE												
Hordeum	2H	SCRI_RS_7026	34879052	26.2	TRUE												
Hordeum	2H	SCRI_RS_73	624266485	67.9	TRUE												
Hordeum	2H	SCRI_RS_740	738325520	132.6	TRUE												
Hordeum	2H	SCRI_RS_81287	50741051	39.7	TRUE												
Hordeum	2H	SCRI_RS_8366	78371876	49.4	TRUE												
Hordeum	2H	SCRI_RS_8420	748718695	139.9	TRUE												
Hordeum	2H	SCRI_RS_8637	765155000	149.4	TRUE												
Hordeum	2H	SCRI_RS_8671	764280438	149.3	TRUE												
Hordeum	2H	SCRI_RS_87934	248061370	56.4	TRUE												
Hordeum	2H	SCRI_RS_88391	10900150	6.6	TRUE												
Hordeum	2H	SCRI_RS_89851	50233529	39.4	TRUE												
Hordeum	2H	SCRI_RS_918	705592804	106.8	TRUE												
Hordeum	2H	SCRI_RS_91810	651051990	79.9	TRUE												
Hordeum	2H	SCRI_RS_9469	625385194	68.1	TRUE												
Hordeum	2H	SCRI_RS_98229	195533417	55.5	TRUE												
Hordeum	3H	11_10005	489991522	53.3	TRUE												
Hordeum	3H	11_10112	11039299	8.5	TRUE												
Hordeum	3H	11_10224	423198950	51.8	TRUE												
Hordeum	3H	11_10253	591895583	77.7	TRUE												
Hordeum	3H	11_10281	499361359	55.2	TRUE												
Hordeum	3H	11_10312	622816911	100.3	TRUE												
Hordeum	3H	11_10335	517015889	58.6	TRUE												
Hordeum	3H	11_10349	423371382	51.8	TRUE												
Hordeum	3H	11_10350	542983380	62.8	TRUE												
Hordeum	3H	11_10365	374141070	51.6	TRUE												
Hordeum	3H	11_10380	142551916	49.3	TRUE												
Hordeum	3H	11_10381	651809038	122	TRUE												
Hordeum	3H	11_10437	367114778	51.6	TRUE												
Hordeum	3H	11_10515	606323507	88.8	TRUE												
Hordeum	3H	11_10559	23094350	20.4	TRUE												
Hordeum	3H	11_10565	17613152	15.3	TRUE												
Hordeum	3H	11_10570	659694975	128.6	TRUE												
Hordeum	3H	11_10601	54950033	45.8	TRUE												
Hordeum	3H	11_10620	413469543	51.6	TRUE												
Hordeum	3H	11_10646	676624509	142.1	TRUE												
Hordeum	3H	11_10653	482733260	52.6	TRUE												
Hordeum	3H	11_10672	32615445	36.4	TRUE												
Hordeum	3H	11_10681	683876412	146	TRUE												
Hordeum	3H	11_10683	549071802	64.2	TRUE												
Hordeum	3H	11_10694	684467546	146.1	TRUE												
Hordeum	3H	11_10710	35266121	37.7	TRUE												
Hordeum	3H	11_10728	491895585	54.5	TRUE												
Hordeum	3H	11_10754	632915185	108.6	TRUE												
Hordeum	3H	11_10825	36786737	38	TRUE												
Hordeum	3H	11_10867	633641840	109.2	TRUE												
Hordeum	3H	11_10886	10689004	8.3	TRUE												
Hordeum	3H	11_10893	684178920	146.1	TRUE												
Hordeum	3H	11_10925	411949429	51.6	TRUE												
Hordeum	3H	11_10966	416613563	51.6	TRUE												
Hordeum	3H	11_11002	47570630	43.1	TRUE												
Hordeum	3H	11_11021	590764794	77.7	TRUE												
Hordeum	3H	11_11086	219956193	51.2	TRUE												
Hordeum	3H	11_11125	402907880	51.6	TRUE												
Hordeum	3H	11_11172	632247129	108.4	TRUE												
Hordeum	3H	11_11191	504750960	55.8	TRUE												
Hordeum	3H	11_11241	538660122	61.9	TRUE												
Hordeum	3H	11_11258	198409081	50.9	TRUE												
Hordeum	3H	11_11283	367856122	51.6	TRUE												
Hordeum	3H	11_11330	628031126	105.3	TRUE												
Hordeum	3H	11_11394	520181246	59.3	TRUE												
Hordeum	3H	11_11410	683294717	145.4	TRUE												
Hordeum	3H	11_11436	673608563	139.6	TRUE												
Hordeum	3H	11_11453	3691178	2.4	TRUE												
Hordeum	3H	11_11530	378660028	51.6	TRUE												
Hordeum	3H	11_20002	408772778	51.6	TRUE												
Hordeum	3H	11_20023	617763235	96.5	TRUE												
Hordeum	3H	11_20063	574657494	73	TRUE												
Hordeum	3H	11_20085	653287342	122.6	TRUE												
Hordeum	3H	11_20093	567582668	69	TRUE												
Hordeum	3H	11_20102	394389275	51.6	TRUE												
Hordeum	3H	11_20115	559686530	67.8	TRUE												
Hordeum	3H	11_20130	600339115	86.4	TRUE												
Hordeum	3H	11_20136	585512505	76.3	TRUE												
Hordeum	3H	11_20155	672938827	139	TRUE												
Hordeum	3H	11_20193	39504094	39.4	TRUE												
Hordeum	3H	11_20252	3868857	2.7	TRUE												
Hordeum	3H	11_20288	367111723	51.6	TRUE												
Hordeum	3H	11_20356	55590274	46	TRUE												
Hordeum	3H	11_20409	652157212	122	TRUE												
Hordeum	3H	11_20410	36874153	38	TRUE												
Hordeum	3H	11_20486	417329164	51.6	TRUE												
Hordeum	3H	11_20527	647753562	118.9	TRUE												
Hordeum	3H	11_20529	7058538	3.3	TRUE												
Hordeum	3H	11_20583	361099781	51.6	TRUE												
Hordeum	3H	11_20595	11725096	8.9	TRUE												
Hordeum	3H	11_20612	642592656	117	TRUE												
Hordeum	3H	11_20626	605214250	88.2	TRUE												
Hordeum	3H	11_20628	601474414	87.4	TRUE												
Hordeum	3H	11_20650	634853591	109.5	TRUE												
Hordeum	3H	11_20659	589721973	77.3	TRUE												
Hordeum	3H	11_20694	539948623	62.4	TRUE												
Hordeum	3H	11_20695	549472604	64.2	TRUE												
Hordeum	3H	11_20719	62322435	46	TRUE												
Hordeum	3H	11_20742	17409777	14.9	TRUE												
Hordeum	3H	11_20778	548580014	63.9	TRUE												
Hordeum	3H	11_20794	23309513	23.1	TRUE												
Hordeum	3H	11_20797	2268898	1.6	TRUE												
Hordeum	3H	11_20801	377137385	51.6	TRUE												
Hordeum	3H	11_20851	656335837	126.7	TRUE												
Hordeum	3H	11_20858	1006316	0	TRUE												
Hordeum	3H	11_20866	169952332	50.5	TRUE												
Hordeum	3H	11_20877	535783451	61.9	TRUE												
Hordeum	3H	11_20890	398402893	51.6	TRUE												
Hordeum	3H	11_20931	521561360	59.4	TRUE												
Hordeum	3H	11_20944	629156883	106.1	TRUE												
Hordeum	3H	11_20976	8913941	6.4	TRUE												
Hordeum	3H	11_20995	487528331	52.8	TRUE												
Hordeum	3H	11_20999	599557279	86.3	TRUE												
Hordeum	3H	11_21083	607246063	89.4	TRUE												
Hordeum	3H	11_21109	160752469	49.6	TRUE												
Hordeum	3H	11_21120	507024435	56.4	TRUE												
Hordeum	3H	11_21129	201162978	51.1	TRUE												
Hordeum	3H	11_21161	617523850	96.5	TRUE												
Hordeum	3H	11_21163	560934688	68.1	TRUE												
Hordeum	3H	11_21189	64618663	46	TRUE												
Hordeum	3H	11_21197	430795973	49.7	TRUE												
Hordeum	3H	11_21212	617339425	96.5	TRUE												
Hordeum	3H	11_21267	687549675	148.4	TRUE												
Hordeum	3H	11_21272	667178220	135.3	TRUE												
Hordeum	3H	11_21294	585261706	76.2	TRUE												
Hordeum	3H	11_21358	566286701	68.3	TRUE												
Hordeum	3H	11_21362	694560962	155	TRUE												
Hordeum	3H	11_21381	608636473	90.2	TRUE												
Hordeum	3H	11_21398	7767159	5.3	TRUE												
Hordeum	3H	11_21428	651805595	122	TRUE												
Hordeum	3H	11_21435	401710570	51.6	TRUE												
Hordeum	3H	11_21438	599409949	86.2	TRUE												
Hordeum	3H	11_21472	364646768	51.6	TRUE												
Hordeum	3H	11_21502	508773606	57.1	TRUE												
Hordeum	3H	11_21523	201231224	143.5	FALSE												
Hordeum	3H	12_10074	600276109	86.4	TRUE												
Hordeum	3H	12_10100	621113619	98.7	TRUE												
Hordeum	3H	12_10114	39504125	39.4	TRUE												
Hordeum	3H	12_10122	650644517	120.9	TRUE												
Hordeum	3H	12_10134	587004550	76.3	TRUE												
Hordeum	3H	12_10173	3865263	2.7	TRUE												
Hordeum	3H	12_10344	611561552	90.9	TRUE												
Hordeum	3H	12_10532	67560907	46.2	TRUE												
Hordeum	3H	12_10609	549471407	64.2	TRUE												
Hordeum	3H	12_10662	611543683	90.9	TRUE												
Hordeum	3H	12_10968	34959733	37.6	TRUE												
Hordeum	3H	12_11154	654554805	123.2	TRUE												
Hordeum	3H	12_20198	676490428	142.1	TRUE												
Hordeum	3H	12_20421	672215821	138.7	TRUE												
Hordeum	3H	12_20505	672933709	139	TRUE												
Hordeum	3H	12_21376	670203243	137.3	TRUE												
Hordeum	3H	12_21386	661418411	131.3	TRUE												
Hordeum	3H	12_30064	54793358	45.4	TRUE												
Hordeum	3H	12_30090	599466360	86	TRUE												
Hordeum	3H	12_30137	658331074	128	TRUE												
Hordeum	3H	12_30170	560321026	68.1	TRUE												
Hordeum	3H	12_30223	627767267	105	TRUE												
Hordeum	3H	12_30250	597724093	84.6	TRUE												
Hordeum	3H	12_30274	630643848	107.8	TRUE												
Hordeum	3H	12_30325	589499865	77.1	TRUE												
Hordeum	3H	12_30342	611855038	91.2	TRUE												
Hordeum	3H	12_30367	655486334	126.1	TRUE												
Hordeum	3H	12_30423	619132502	96.7	TRUE												
Hordeum	3H	12_30474	63807754	46	TRUE												
Hordeum	3H	12_30616	525056378	59.6	TRUE												
Hordeum	3H	12_30618	216876923	51.2	TRUE												
Hordeum	3H	12_30663	585223663	76.1	TRUE												
Hordeum	3H	12_30680	430630118	49.6	FALSE												
Hordeum	3H	12_30736	687519613	148.2	TRUE												
Hordeum	3H	12_30737	63626447	46	TRUE												
Hordeum	3H	12_30743	548756146	63.9	TRUE												
Hordeum	3H	12_30754	535790327	61.9	TRUE												
Hordeum	3H	12_30785	49677532	44.3	TRUE												
Hordeum	3H	12_30788	524982906	59.6	TRUE												
Hordeum	3H	12_30799	202344462	51.1	TRUE												
Hordeum	3H	12_30818	9095803	7	TRUE												
Hordeum	3H	12_30909	600339395	86.4	TRUE												
Hordeum	3H	12_30920	23189958	20.8	TRUE												
Hordeum	3H	12_30921	673188759	139.3	TRUE												
Hordeum	3H	12_30927	625240019	103.1	TRUE												
Hordeum	3H	12_30953	36787380	38	TRUE												
Hordeum	3H	12_30960	679786090	143.1	TRUE												
Hordeum	3H	12_30972	641853254	115.9	TRUE												
Hordeum	3H	12_31012	401079100	51.6	TRUE												
Hordeum	3H	12_31018	583536652	75.7	TRUE												
Hordeum	3H	12_31122	81047480	46.3	TRUE												
Hordeum	3H	12_31214	405679078	51.6	TRUE												
Hordeum	3H	12_31220	627362478	104.5	TRUE												
Hordeum	3H	12_31238	634931110	109.8	TRUE												
Hordeum	3H	12_31242	530321562	60.8	TRUE												
Hordeum	3H	12_31251	654499243	123.4	TRUE												
Hordeum	3H	12_31262	567974349	69	TRUE												
Hordeum	3H	12_31323	538157969	61.9	TRUE												
Hordeum	3H	12_31346	550212338	64.7	TRUE												
Hordeum	3H	12_31356	540867182	62.7	TRUE												
Hordeum	3H	12_31372	298534459	51.3	TRUE												
Hordeum	3H	12_31409	4184471	3.1	TRUE												
Hordeum	3H	12_31428	1367441	0	TRUE												
Hordeum	3H	12_31475	51544152	44.8	TRUE												
Hordeum	3H	12_31500	671180259	137.9	TRUE												
Hordeum	3H	12_31525	631827160	108.1	TRUE												
Hordeum	3H	SCRI_RS_10016	656381638	126.7	TRUE												
Hordeum	3H	SCRI_RS_102837	36654678	38	TRUE												
Hordeum	3H	SCRI_RS_10288	535660465	61.8	TRUE												
Hordeum	3H	SCRI_RS_103215	634073493	109.2	TRUE												
Hordeum	3H	SCRI_RS_10387	504110537	55.8	TRUE												
Hordeum	3H	SCRI_RS_104564	549896816	64.3	TRUE												
Hordeum	3H	SCRI_RS_107261	519008760	59.1	TRUE												
Hordeum	3H	SCRI_RS_108473	403670640	51.6	TRUE												
Hordeum	3H	SCRI_RS_110693	75453978	46.2	TRUE												
Hordeum	3H	SCRI_RS_11126	213337053	51.2	TRUE												
Hordeum	3H	SCRI_RS_113112	659695577	128.6	TRUE												
Hordeum	3H	SCRI_RS_11338	68843159	46.2	TRUE												
Hordeum	3H	SCRI_RS_114333	620571883	98.2	TRUE												
Hordeum	3H	SCRI_RS_115045	38314523	39.2	TRUE												
Hordeum	3H	SCRI_RS_115423	32487232	36.3	TRUE												
Hordeum	3H	SCRI_RS_115755	664905936	133	TRUE												
Hordeum	3H	SCRI_RS_115769	414522777	51.6	TRUE												
Hordeum	3H	SCRI_RS_115925	609385113	90.6	TRUE												
Hordeum	3H	SCRI_RS_115969	35269403	37.7	TRUE												
Hordeum	3H	SCRI_RS_116542	620475679	98.5	TRUE												
Hordeum	3H	SCRI_RS_116760	586993972	76.3	TRUE												
Hordeum	3H	SCRI_RS_119379	5000348	3.1	TRUE												
Hordeum	3H	SCRI_RS_119697	32664182	36.8	TRUE												
Hordeum	3H	SCRI_RS_120503	608666481	90.2	TRUE												
Hordeum	3H	SCRI_RS_120973	632912743	108.6	TRUE												
Hordeum	3H	SCRI_RS_121895	27033909	26.3	TRUE												
Hordeum	3H	SCRI_RS_124201	503969576	55.8	TRUE												
Hordeum	3H	SCRI_RS_126351	679939889	143.1	TRUE												
Hordeum	3H	SCRI_RS_126369	681728797	144	TRUE												
Hordeum	3H	SCRI_RS_127719	684877821	146.4	TRUE												
Hordeum	3H	SCRI_RS_127822	10689349	8.3	TRUE												
Hordeum	3H	SCRI_RS_127903	10688059	8.3	TRUE												
Hordeum	3H	SCRI_RS_127994	49046894	44.3	TRUE												
Hordeum	3H	SCRI_RS_128254	686381042	147.2	TRUE												
Hordeum	3H	SCRI_RS_128336	687549675	148.4	TRUE												
Hordeum	3H	SCRI_RS_12836	498958304	55.2	TRUE												
Hordeum	3H	SCRI_RS_12851	359509768	51.6	TRUE												
Hordeum	3H	SCRI_RS_128706	197445741	50.9	TRUE												
Hordeum	3H	SCRI_RS_129935	2366317	1.6	TRUE												
Hordeum	3H	SCRI_RS_130177	679786090	143.1	TRUE												
Hordeum	3H	SCRI_RS_130264	11270980	8.8	TRUE												
Hordeum	3H	SCRI_RS_130616	518661002	59.1	TRUE												
Hordeum	3H	SCRI_RS_131897	682347085	100.4	FALSE												
Hordeum	3H	SCRI_RS_132190	396190350	51.6	TRUE												
Hordeum	3H	SCRI_RS_132388	9094603	7	TRUE												
Hordeum	3H	SCRI_RS_133339	618054826	96.6	TRUE												
Hordeum	3H	SCRI_RS_133685	36775100	38	TRUE												
Hordeum	3H	SCRI_RS_13376	525135195	59.6	TRUE												
Hordeum	3H	SCRI_RS_13433	75516184	46.2	TRUE												
Hordeum	3H	SCRI_RS_135155	667569419	135.5	TRUE												
Hordeum	3H	SCRI_RS_135156	667571195	135.5	TRUE												
Hordeum	3H	SCRI_RS_135581	514211490	57.6	TRUE												
Hordeum	3H	SCRI_RS_136721	562125741	68.2	TRUE												
Hordeum	3H	SCRI_RS_136921	398457940	51.6	TRUE												
Hordeum	3H	SCRI_RS_136937	590239819	77.7	TRUE												
Hordeum	3H	SCRI_RS_136959	33513222	37.1	TRUE												
Hordeum	3H	SCRI_RS_137552	381163587	51.6	TRUE												
Hordeum	3H	SCRI_RS_13778	545329202	63.7	TRUE												
Hordeum	3H	SCRI_RS_137852	564051601	68.2	TRUE												
Hordeum	3H	SCRI_RS_137934	517968310	59	TRUE												
Hordeum	3H	SCRI_RS_138193	604949644	88	TRUE												
Hordeum	3H	SCRI_RS_138291	540504773	62.5	TRUE												
Hordeum	3H	SCRI_RS_138317	633538114	109.2	TRUE												
Hordeum	3H	SCRI_RS_13871	650047718	120.7	TRUE												
Hordeum	3H	SCRI_RS_138983	621119577	98.7	TRUE												
Hordeum	3H	SCRI_RS_139294	542307828	62.7	TRUE												
Hordeum	3H	SCRI_RS_139449	539935260	62.4	TRUE												
Hordeum	3H	SCRI_RS_1398	536067907	61.9	TRUE												
Hordeum	3H	SCRI_RS_140190	564778128	68.2	TRUE												
Hordeum	3H	SCRI_RS_14107	665843442	133.3	TRUE												
Hordeum	3H	SCRI_RS_141081	73433445	46.2	TRUE												
Hordeum	3H	SCRI_RS_141109	505259203	55.8	TRUE												
Hordeum	3H	SCRI_RS_141166	212003870	51.2	TRUE												
Hordeum	3H	SCRI_RS_141171	43840769	40.6	TRUE												
Hordeum	3H	SCRI_RS_141432	562954507	68.2	TRUE												
Hordeum	3H	SCRI_RS_142442	208364430	51.2	TRUE												
Hordeum	3H	SCRI_RS_142818	687537720	148.2	TRUE												
Hordeum	3H	SCRI_RS_142939	513008754	57.4	TRUE												
Hordeum	3H	SCRI_RS_143331	511250389	57.4	TRUE												
Hordeum	3H	SCRI_RS_1435	684471876	146.1	TRUE												
Hordeum	3H	SCRI_RS_143505	694361689	154.9	TRUE												
Hordeum	3H	SCRI_RS_143594	687546374	148.2	TRUE												
Hordeum	3H	SCRI_RS_143933	589831428	77.4	TRUE												
Hordeum	3H	SCRI_RS_144038	391438031	51.6	TRUE												
Hordeum	3H	SCRI_RS_144313	667572868	135.5	TRUE												
Hordeum	3H	SCRI_RS_144369	428091044	51.8	TRUE												
Hordeum	3H	SCRI_RS_144410	26404649	25.3	TRUE												
Hordeum	3H	SCRI_RS_144534	541044263	62.7	TRUE												
Hordeum	3H	SCRI_RS_144535	538805589	62.1	TRUE												
Hordeum	3H	SCRI_RS_144559	664600963	132.9	TRUE												
Hordeum	3H	SCRI_RS_146012	641882747	116.4	TRUE												
Hordeum	3H	SCRI_RS_146197	643146457	117	TRUE												
Hordeum	3H	SCRI_RS_146347	582491515	75.2	TRUE												
Hordeum	3H	SCRI_RS_146429	596138065	83.1	TRUE												
Hordeum	3H	SCRI_RS_147984	621154614	98.7	TRUE												
Hordeum	3H	SCRI_RS_148020	566532874	68.3	TRUE												
Hordeum	3H	SCRI_RS_14819	4065960	3	TRUE												
Hordeum	3H	SCRI_RS_14857	627884115	105	TRUE												
Hordeum	3H	SCRI_RS_148646	691635	0	TRUE												
Hordeum	3H	SCRI_RS_149207	78938565	46.2	TRUE												
Hordeum	3H	SCRI_RS_149566	620058295	97.8	TRUE												
Hordeum	3H	SCRI_RS_150063	630686415	107.8	TRUE												
Hordeum	3H	SCRI_RS_151254	52592292	44.8	TRUE												
Hordeum	3H	SCRI_RS_151299	35066186	37.6	TRUE												
Hordeum	3H	SCRI_RS_151733	653548308	122.6	TRUE												
Hordeum	3H	SCRI_RS_151799	402174839	51.6	TRUE												
Hordeum	3H	SCRI_RS_151868	673190577	139.3	TRUE												
Hordeum	3H	SCRI_RS_152371	510843352	57.2	TRUE												
Hordeum	3H	SCRI_RS_152682	36887252	38	TRUE												
Hordeum	3H	SCRI_RS_153414	631106930	107.8	TRUE												
Hordeum	3H	SCRI_RS_153718	18619794	17.4	TRUE												
Hordeum	3H	SCRI_RS_153915	627151179	104.5	TRUE												
Hordeum	3H	SCRI_RS_154396	526005110	59.6	TRUE												
Hordeum	3H	SCRI_RS_154549	687581611	148.4	TRUE												
Hordeum	3H	SCRI_RS_155168	498945837	55.1	TRUE												
Hordeum	3H	SCRI_RS_155475	10907593	8.4	TRUE												
Hordeum	3H	SCRI_RS_155609	549883652	64.3	TRUE												
Hordeum	3H	SCRI_RS_155763	582303038	74.8	TRUE												
Hordeum	3H	SCRI_RS_156056	550418669	64.9	TRUE												
Hordeum	3H	SCRI_RS_156111	588517933	76.8	TRUE												
Hordeum	3H	SCRI_RS_156315	685355566	146.5	TRUE												
Hordeum	3H	SCRI_RS_157113	672925896	139.2	TRUE												
Hordeum	3H	SCRI_RS_157150	521563965	59.4	TRUE												
Hordeum	3H	SCRI_RS_157904	539933411	62.4	TRUE												
Hordeum	3H	SCRI_RS_157988	390554023	51.6	TRUE												
Hordeum	3H	SCRI_RS_159006	584839907	75.9	TRUE												
Hordeum	3H	SCRI_RS_159312	216085411	51.2	TRUE												
Hordeum	3H	SCRI_RS_159340	597678826	84.4	TRUE												
Hordeum	3H	SCRI_RS_159344	687544281	148.2	TRUE												
Hordeum	3H	SCRI_RS_159431	540814720	62.7	TRUE												
Hordeum	3H	SCRI_RS_159598	23309866	23.1	TRUE												
Hordeum	3H	SCRI_RS_159661	503499182	55.8	TRUE												
Hordeum	3H	SCRI_RS_160216	550415726	64.9	TRUE												
Hordeum	3H	SCRI_RS_160338	694363140	154.9	TRUE												
Hordeum	3H	SCRI_RS_161066	540155112	62.5	TRUE												
Hordeum	3H	SCRI_RS_161083	418599941	51.6	TRUE												
Hordeum	3H	SCRI_RS_161385	610927010	90.9	TRUE												
Hordeum	3H	SCRI_RS_161744	530420176	60.8	TRUE												
Hordeum	3H	SCRI_RS_1627	34606323	37.5	TRUE												
Hordeum	3H	SCRI_RS_162838	507320214	56.4	TRUE												
Hordeum	3H	SCRI_RS_162862	504704067	55.8	TRUE												
Hordeum	3H	SCRI_RS_162931	543661373	63	TRUE												
Hordeum	3H	SCRI_RS_163092	623376780	100.7	TRUE												
Hordeum	3H	SCRI_RS_164254	219971157	51.2	TRUE												
Hordeum	3H	SCRI_RS_164290	627055629	104.3	TRUE												
Hordeum	3H	SCRI_RS_164675	550216173	64.7	TRUE												
Hordeum	3H	SCRI_RS_164704	616610427	96.3	TRUE												
Hordeum	3H	SCRI_RS_164726	676496647	142.1	TRUE												
Hordeum	3H	SCRI_RS_164731	521218082	59.4	TRUE												
Hordeum	3H	SCRI_RS_165044	667559166	135.5	TRUE												
Hordeum	3H	SCRI_RS_165264	353175383	51.3	TRUE												
Hordeum	3H	SCRI_RS_165334	634076085	109.2	TRUE												
Hordeum	3H	SCRI_RS_166119	599409651	86.2	TRUE												
Hordeum	3H	SCRI_RS_166122	73432873	46.2	TRUE												
Hordeum	3H	SCRI_RS_167463	530135291	60.8	TRUE												
Hordeum	3H	SCRI_RS_167698	663483189	132	TRUE												
Hordeum	3H	SCRI_RS_167755	645655863	118.2	TRUE												
Hordeum	3H	SCRI_RS_167825	623131820	100.3	TRUE												
Hordeum	3H	SCRI_RS_168360	663177992	131.8	TRUE												
Hordeum	3H	SCRI_RS_168665	499413118	55.2	TRUE												
Hordeum	3H	SCRI_RS_168977	666090282	133.3	TRUE												
Hordeum	3H	SCRI_RS_168981	620734201	98.5	TRUE												
Hordeum	3H	SCRI_RS_16934	504887423	55.8	TRUE												
